freq km
0.155 1.6100000000000001
0.14999999999999999 14.49
0.16500000000000001 17.710000000000001
0.115 27.370000000000001
0.11 29.785
0.16 40.25
0.17000000000000001 57.960000000000001
0.35499999999999998 65.204999999999998
0.42999999999999999 67.620000000000005
0.30499999999999999 70.840000000000003
0.315 72.450000000000003
0.46000000000000002 82.109999999999999
0.54500000000000004 86.940000000000012
0.46999999999999997 89.355000000000004
0.45000000000000001 91.77000000000001
0.51000000000000001 98.210000000000008
0.52500000000000002 107.87
